# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
179 -1.7386478421168543 6.6032240716676265 29.345466899987557 239 215 112 0.091525402491933139 31 425 30 417
180 -1.4114061474755937 6.8809179620221563 28.748602735489655 161 102 34 0.32786585445015443 31 417 30 425
181 -0.047027634275843846 4.30005359701111 31.299143232551408 101 105 36 0.033238281217420659 31 247 30 438
182 -1.9094301477455078 5.0224892040742937 31.555392422048243 85 48 42 0.067770949085618787 31 262 30 445
183 -1.2356241755873285 5.0427591480452003 31.327312661396501 105 103 73 0.35702206164645339 31 274 30 447
184 1.9151295593215312 5.1897409147909057 30.794616553722808 35 25 10 1.1471418224432643 31 350 30 448
185 0.50760237498383032 5.23672003897771 29.739767118170924 114 88 44 0.0078861773003339863 31 272 30 449
186 -1.4666930837547876 5.9319277878656651 30.218759701984919 64 37 40 0.11963129137708428 31 439 30 453
187 -2.3007376920965124 5.2304279026528002 31.570223666388458 182 83 23 0.25539073210670832 31 726 30 460
188 0.89713055811492148 5.0912865599799257 29.76599094638172 62 19 9 0.07363140307219701 31 361 30 468
189 -0.23534436381889681 4.1423487383241095 31.614832429224744 89 41 31 0.22894271629151877 31 561 30 469
190 0.62120817456556832 5.1250961189303581 29.798964077453871 228 215 115 0.071797078162085651 31 453 30 471
191 -1.83410902089914 5.3598147226208148 31.130648469189293 117 113 39 0.2592007081239972 31 375 30 476
192 -1.4886744620986307 6.6564678467164917 29.08284232971485 157 79 31 0.21472045754240537 31 545 30 477
193 -1.5107378926544999 5.4151974367520852 30.942921520091691 89 31 20 0.78573971977769608 31 821 30 479
194 -2.2011178736334891 5.5439116419221142 31.010393688562711 220 176 56 2.3279765681604068 31 586 30 482
195 0.89266022887081009 5.427695157852555 29.227423388248528 116 44 32 0.15294736747779089 31 475 30 483
196 1.8625231871547647 5.7584780097506147 27.959422301003542 102 44 15 0.28857712508003419 31 496 30 484
197 2.8522324730402264 5.8712137163679854 29.669507202519778 13 8 15 0.16303672300982686 31 455 30 486
198 4.6779565245626111 5.7708005091595735 28.819206804680217 58 23 21 1.2705471795596475 31 254 30 487
199 -2.3175614660562931 4.7539964702589623 32.321830827893798 146 80 31 0.96656067680294111 31 252 30 489
200 -1.3846046724867442 5.619305859216972 30.628406193255547 75 24 15 0.15503393933021598 31 494 30 496
201 0.76394584741334481 5.5687844475067765 29.035985812710109 232 224 162 0.14395406814699735 31 380 30 499
202 1.0950265780761279 5.6359946009098287 28.726951930428552 140 109 21 0.60336867926330529 31 487 30 502
203 -2.0743518621010422 5.998681042794149 30.36417761383856 234 210 102 0.13341720213388047 31 523 30 503
204 1.3935709394485989 5.916579319207492 28.087875847994987 137 54 33 0.37371094110684627 31 385 30 504
205 1.5704483069198534 5.652228363809308 28.275748983472255 168 70 22 0.15638923266994148 31 488 30 507
206 -1.4085231699692831 5.7262092177150681 30.439723499020879 69 36 22 0.016339425280117111 31 503 30 510
207 -0.019936012086506028 4.0298013539046487 31.663604022966439 210 195 82 0.18784404316149705 31 552 30 518
208 -0.16069533554459225 4.1556947189705493 31.533131432344128 242 234 219 0.08529064425527394 31 335 30 522
209 -0.022249678261206506 4.1594573512824597 31.437398854968837 233 220 91 0.32302532570592346 31 470 30 523
210 -1.5124057574154079 6.033041631516082 30.170632133297005 63 29 20 0.023897678485174781 31 910 30 525
211 0.76873789387795421 4.4612343790432458 30.513920794174098 194 129 78 0.11126237565576763 31 345 30 529
212 -0.13925732239821426 4.6319024193081653 31.103079747126536 229 180 131 0.19408112358294455 31 349 30 533
213 -2.3357589209501772 4.8251141753532902 32.126387896196874 207 175 73 0.50405341689582217 31 684 30 535
214 -1.2765961380984789 4.8056821419587061 31.670496810402103 160 76 23 0.12628950496561636 31 609 30 536
215 3.3902356987789219 4.7899486404762852 30.665017985663209 118 76 42 0.32648792181530628 31 563 30 538
216 5.0841491535516994 5.0145150205238833 29.403255208036391 134 121 102 0.043667389952174437 31 565 30 542
217 0.74041938645578265 4.8546105549493017 30.02134538581625 104 20 11 0.27649771942194246 31 611 30 544
218 -1.4069222361197624 5.8822661914726568 30.242275899854199 97 101 32 0.35645353326805052 31 509 30 547
219 1.0677254002094601 4.8964730205092488 29.683802600810441 217 182 79 0.066438240263494389 31 444 30 550
220 0.38350817184959535 4.9601102491848321 30.192254841328165 179 174 100 0.11143487115368139 31 356 30 553
221 0.49019283493398208 5.026022178648188 30.067536701147265 99 46 37 0.11968764572696999 31 359 30 555
222 0.94504187096304737 5.0419096584231458 29.762858118682658 228 211 128 0.014505198468645852 31 695 30 556
223 -1.9183164805465103 5.1526191893355762 31.380448003893815 222 214 146 0.087258099292732844 31 334 30 557
224 0.45881256232304096 4.9172469674652248 30.239031979146191 121 75 46 0.32166727655395494 31 598 30 558
225 0.70663281017193746 5.0459434664369702 29.881773173843992 229 222 156 0.014272083052633808 31 697 30 559
226 -0.58318940415883214 6.2163845627284235 29.544496983254756 123 92 42 0.12827092392859585 31 754 30 564
227 -1.3779317757748848 6.7077321947351045 29.318918147331363 98 67 31 0.1200668367421199 31 412 30 568
228 0.56954228389473216 6.5123369465561911 27.866659838828046 222 196 71 0.35445882180179378 31 539 30 573
229 0.61852548503109273 6.5802005177527523 27.733035239200866 221 192 69 0.20860747901780674 31 474 30 576
230 -0.19687375555559516 6.7228007914816823 28.528015389958075 137 113 53 0.078642920066413532 31 853 30 581
231 -1.9183164805465103 5.1526191893355762 31.380448003893815 222 214 146 0.087258099292732844 31 432 30 589
